EM_ID,Recency,Frequency,Monetary,F,R,M,RFM Score,Segment
48386492,966,1,275,1,1,3,113,hibernating
48389762,1028,1,650,1,1,4,114,hibernating
48390002,252,14,5774,4,3,5,345,loyal customers
48390050,169,13,4451,4,4,5,445,loyal customers
48390319,487,1,539,1,2,4,214,hibernating
48390463,40,3,656,2,5,4,524,potential loyalists
48390583,609,2,974,2,2,5,225,hibernating
48390775,483,1,349,1,2,4,214,hibernating
48390871,770,2,633,2,1,4,124,hibernating
48390919,344,5,1453,3,3,5,335,need attention
48391087,3,7,2163,3,5,5,535,potential loyalists
48391183,202,1,279,1,3,3,313,about to sleep
48391279,145,2,758,2,4,4,424,potential loyalists
48391399,334,2,1168,2,3,5,325,about to sleep
48391543,200,9,3649,4,3,5,345,loyal customers
48391855,490,1,279,1,2,3,213,hibernating
48392239,179,5,2165,3,4,5,435,potential loyalists
48392863,403,8,2448,4,2,5,245,at risk
48392959,608,3,737,2,2,4,224,hibernating
48392983,341,12,3849,4,3,5,345,loyal customers
48393199,484,1,659,1,2,4,214,hibernating
48393295,267,2,328,2,3,4,324,about to sleep
48393991,1077,1,650,1,1,4,114,hibernating
48394279,1083,1,195,1,1,3,113,hibernating
48394303,21,2,538,2,5,4,524,potential loyalists
48394567,774,1,659,1,1,4,114,hibernating
48394783,214,22,7732,5,3,5,355,loyal customers
48394951,68,10,3036,4,5,5,545,champions
48395575,952,3,1095,2,1,5,125,hibernating
48395647,908,1,279,1,1,3,113,hibernating
48396295,600,1,279,1,2,3,213,hibernating
48396343,180,7,1569,3,4,5,435,potential loyalists
48396535,896,1,279,1,1,3,113,hibernating
48397183,351,3,1047,2,3,5,325,about to sleep
48397375,375,1,229,1,2,3,213,hibernating
48397591,721,3,7647,2,2,5,225,hibernating
48398481,988,1,250,1,1,3,113,hibernating
48399225,204,12,3720,4,3,5,345,loyal customers
48399465,319,1,239,1,3,3,313,about to sleep
48399633,806,2,2029,2,1,5,125,hibernating
48399897,124,44,10849,5,4,5,455,loyal customers
48400401,188,8,4128,4,3,5,345,loyal customers
48400833,482,3,1597,2,2,5,225,hibernating
48400953,93,8,2549,4,4,5,445,loyal customers
48400977,68,6,3249,3,5,5,535,potential loyalists
48401121,166,3,833,2,4,5,425,potential loyalists
48401313,620,1,99,1,2,2,212,hibernating
48401458,1008,1,130,1,1,3,113,hibernating
48401674,392,5,2114,3,2,5,235,at risk
48401866,313,2,1638,2,3,5,325,about to sleep
48402370,222,11,3418,4,3,5,345,loyal customers
48402466,258,8,2423,4,3,5,345,loyal customers
48402538,77,5,1395,3,5,5,535,potential loyalists
48402706,29,4,1982,3,5,5,535,potential loyalists
48402826,13,3,1927,2,5,5,525,potential loyalists
48403354,20,1,747,1,5,4,514,new customers
48403570,1064,1,780,1,1,4,114,hibernating
48403666,496,9,2701,4,2,5,245,at risk
48403930,435,2,168,2,2,3,223,hibernating
48404122,256,5,5957,3,3,5,335,need attention
48404170,588,3,6178,2,2,5,225,hibernating
48404339,655,7,7036,3,2,5,235,at risk
48404411,169,4,1396,3,4,5,435,potential loyalists
48404627,841,3,1568,2,1,5,125,hibernating
48404819,263,3,837,2,3,5,325,about to sleep
48405035,98,1,279,1,4,3,413,promising
48405131,111,1,349,1,4,4,414,promising
48405299,49,8,2700,4,5,5,545,champions
48406235,236,1,59,1,3,2,312,about to sleep
48406523,104,15,2234,4,4,5,445,loyal customers
48406835,113,15,4592,4,4,5,445,loyal customers
48407099,517,10,3899,4,2,5,245,at risk
48407219,343,7,3383,3,3,5,335,need attention
48407435,27,4,1116,3,5,5,535,potential loyalists
48407795,306,3,1183,2,3,5,325,about to sleep
48407867,54,14,718,4,5,4,544,champions
48408107,39,6,2236,3,5,5,535,potential loyalists
48408443,243,19,7031,5,3,5,355,loyal customers
48408539,20,12,4427,4,5,5,545,champions
48408779,76,6,4224,3,5,5,535,potential loyalists
48408851,10,41,15122,5,5,5,555,champions
48408875,463,2,2058,2,2,5,225,hibernating
48409043,134,7,2269,3,4,5,435,potential loyalists
48409139,797,2,70,2,1,2,122,hibernating
48409307,105,9,8284,4,4,5,445,loyal customers
48410099,963,2,458,2,1,4,124,hibernating
48410627,110,14,10875,4,4,5,445,loyal customers
48410747,859,1,279,1,1,3,113,hibernating
48410819,728,1,279,1,2,3,213,hibernating
48411083,89,12,1448,4,5,5,545,champions
48411107,342,8,7508,4,3,5,345,loyal customers
48411565,580,1,478,1,2,4,214,hibernating
48411661,693,2,260,2,2,3,223,hibernating
48411925,729,1,409,1,2,4,214,hibernating
48412093,817,1,1029,1,1,5,115,hibernating
48412621,26,7,5815,3,5,5,535,potential loyalists
48412741,208,5,1704,3,3,5,335,need attention
48412789,271,4,1182,3,3,5,335,need attention
48412885,599,1,1299,1,2,5,215,hibernating
48412909,19,1,319,1,5,4,514,new customers
48413389,210,4,1186,3,3,5,335,need attention
48413413,720,2,707,2,2,4,224,hibernating
48413677,718,1,768,1,2,4,214,hibernating
48413941,288,2,558,2,3,4,324,about to sleep
48414085,75,2,838,2,5,5,525,potential loyalists
48414277,896,1,349,1,1,4,114,hibernating
48414517,691,1,99,1,2,2,212,hibernating
48414541,62,1,99,1,5,2,512,new customers
48415669,1062,2,1250,2,1,5,125,hibernating
48416101,126,7,2163,3,4,5,435,potential loyalists
48416413,263,6,1806,3,3,5,335,need attention
48416557,432,1,279,1,2,3,213,hibernating
48416653,39,2,502,2,5,4,524,potential loyalists
48417133,615,1,99,1,2,2,212,hibernating
48417229,217,1,399,1,3,4,314,about to sleep
48417613,64,1,99,1,5,2,512,new customers
48417709,362,10,2452,4,3,5,345,loyal customers
48417901,820,1,659,1,1,4,114,hibernating
48417925,29,1,279,1,5,3,513,new customers
48417949,1006,1,1800,1,1,5,115,hibernating
48418573,364,2,938,2,3,5,325,about to sleep
48418645,41,3,837,2,5,5,525,potential loyalists
48418789,33,8,2739,4,5,5,545,champions
48418933,98,4,1455,3,4,5,435,potential loyalists
48418957,796,1,1372,1,1,5,115,hibernating
48419221,243,4,1116,3,3,5,335,need attention
48419245,270,5,2075,3,3,5,335,need attention
48419702,683,1,1029,1,2,5,215,hibernating
48420782,435,14,5713,4,2,5,245,at risk
48421406,60,3,2457,2,5,5,525,potential loyalists
48422126,96,1,259,1,4,3,413,promising
48422174,687,1,99,1,2,2,212,hibernating
48422582,20,14,4502,4,5,5,545,champions
48422798,340,3,857,2,3,5,325,about to sleep
48423134,414,2,169,2,2,3,223,hibernating
48424455,1042,1,275,1,1,3,113,hibernating
48424527,386,2,558,2,2,4,224,hibernating
48425031,98,13,4087,4,4,5,445,loyal customers
48425679,874,1,659,1,1,4,114,hibernating
48425823,552,3,877,2,2,5,225,hibernating
48427095,364,2,198,2,3,3,323,about to sleep
48427119,211,6,3041,3,3,5,335,need attention
48427215,1026,1,279,1,1,3,113,hibernating
48427311,489,1,819,1,2,5,215,hibernating
48427431,383,3,448,2,2,4,224,hibernating
48427695,771,1,479,1,1,4,114,hibernating
48428007,335,3,1268,2,3,5,325,about to sleep
48428535,271,1,279,1,3,3,313,about to sleep
48428583,50,1,99,1,5,2,512,new customers
48428751,48,5,555,3,5,4,534,potential loyalists
48429135,295,3,1428,2,3,5,325,about to sleep
48429279,67,4,2124,3,5,5,535,potential loyalists
48429375,413,1,99,1,2,2,212,hibernating
48429399,133,11,3069,4,4,5,445,loyal customers
48429471,721,4,4897,3,2,5,235,at risk
48429879,708,2,349,2,2,4,224,hibernating
48429951,571,1,229,1,2,3,213,hibernating
48430383,1085,1,625,1,1,4,114,hibernating
48430479,111,6,1674,3,4,5,435,potential loyalists
48430503,123,7,4654,3,4,5,435,potential loyalists
48430863,252,3,1515,2,3,5,325,about to sleep
48431031,40,17,6082,5,5,5,555,champions
48431103,197,5,2114,3,3,5,335,need attention
48431583,118,1,349,1,4,4,414,promising
48432087,33,18,5456,5,5,5,555,champions
48432111,195,2,558,2,3,4,324,about to sleep
48432303,20,2,699,2,5,4,524,potential loyalists
48432567,199,9,3221,4,3,5,345,loyal customers
48432735,623,1,49,1,2,1,211,hibernating
48432783,83,7,4355,3,5,5,535,potential loyalists
48433551,204,3,797,2,3,5,325,about to sleep
48434991,1070,1,275,1,1,3,113,hibernating
48435135,616,2,458,2,2,4,224,hibernating
48435159,826,1,2299,1,1,5,115,hibernating
48435471,238,6,1760,3,3,5,335,need attention
48435735,411,1,279,1,2,3,213,hibernating
48435759,539,2,98,2,2,2,222,hibernating
48435903,536,2,2809,2,2,5,225,hibernating
48436624,393,6,1994,3,2,5,235,at risk
48436648,721,2,887,2,2,5,225,hibernating
48436672,11,5,1420,3,5,5,535,potential loyalists
48437200,229,2,158,2,3,3,323,about to sleep
48437392,56,5,2905,3,5,5,535,potential loyalists
48437464,274,1,279,1,3,3,313,about to sleep
48437512,249,10,5055,4,3,5,345,loyal customers
48437560,218,12,7071,4,3,5,345,loyal customers
48437704,977,1,225,1,1,3,113,hibernating
48437800,903,5,1915,3,1,5,135,at risk
48438016,572,3,833,2,2,5,225,hibernating
48438064,76,8,6132,4,5,5,545,champions
48438136,200,4,1726,3,3,5,335,need attention
48438232,336,4,1992,3,3,5,335,need attention
48438280,224,2,1388,2,3,5,325,about to sleep
48438593,146,2,448,2,4,4,424,potential loyalists
48438833,909,2,2029,2,1,5,125,hibernating
48439049,67,1,99,1,5,2,512,new customers
48439433,778,2,1469,2,1,5,125,hibernating
48439529,847,1,279,1,1,3,113,hibernating
48439817,34,3,129,2,5,3,523,potential loyalists
48440393,33,15,8470,4,5,5,545,champions
48440657,99,5,1161,3,4,5,435,potential loyalists
48441521,313,2,1399,2,3,5,325,about to sleep
48441665,582,1,49,1,2,1,211,hibernating
48441737,210,1,279,1,3,3,313,about to sleep
48442049,839,4,1037,3,1,5,135,at risk
48442097,21,1,289,1,5,3,513,new customers
48442217,595,9,4874,4,2,5,245,at risk
48442745,467,3,977,2,2,5,225,hibernating
48442865,445,5,2235,3,2,5,235,at risk
48443129,133,11,3797,4,4,5,445,loyal customers
48444401,676,1,229,1,2,3,213,hibernating
48444881,250,3,647,2,3,4,324,about to sleep
48446009,54,4,2726,3,5,5,535,potential loyalists
48446273,718,2,458,2,2,4,224,hibernating
48446489,1001,2,529,2,1,4,124,hibernating
48446994,473,1,279,1,2,3,213,hibernating
48447018,473,1,279,1,2,3,213,hibernating
48447114,214,2,1217,2,3,5,325,about to sleep
48447162,326,1,99,1,3,2,312,about to sleep
48447474,383,6,2315,3,2,5,235,at risk
48447546,351,6,2128,3,3,5,335,need attention
48448266,819,2,320,2,1,4,124,hibernating
48448579,251,2,198,2,3,3,323,about to sleep
48448963,763,4,1754,3,1,5,135,at risk
48449011,183,5,1175,3,3,5,335,need attention
48449587,39,18,4502,5,5,5,555,champions
48450643,127,9,3603,4,4,5,445,loyal customers
48451075,777,3,1726,2,1,5,125,hibernating
48451099,351,7,3573,3,3,5,335,need attention
48451291,956,2,740,2,1,4,124,hibernating
48451556,265,3,188,2,3,3,323,about to sleep
48451676,347,3,1987,2,3,5,325,about to sleep
48452204,855,1,349,1,1,4,114,hibernating
48452396,480,2,558,2,2,4,224,hibernating
48452444,90,11,3248,4,5,5,545,champions
48453164,42,2,628,2,5,4,524,potential loyalists
48453284,420,1,409,1,2,4,214,hibernating
48453620,797,2,1539,2,1,5,125,hibernating
48453884,190,7,2839,3,3,5,335,need attention
48453908,36,3,1877,2,5,5,525,potential loyalists
48453980,547,1,349,1,2,4,214,hibernating
48454388,1085,1,95,1,1,2,112,hibernating
48454508,316,5,1345,3,3,5,335,need attention
48454628,145,13,5975,4,4,5,445,loyal customers
48454748,112,5,1931,3,4,5,435,potential loyalists
48454772,20,1,99,1,5,2,512,new customers
48455108,1070,2,780,2,1,4,124,hibernating
48455132,11,1,359,1,5,4,514,new customers
48455276,775,4,3512,3,1,5,135,at risk
48455468,337,2,767,2,3,4,324,about to sleep
48455996,138,7,1074,3,4,5,435,potential loyalists
48456068,211,6,2834,3,3,5,335,need attention
48456308,186,6,2609,3,3,5,335,need attention
48456500,442,2,169,2,2,3,223,hibernating
48456692,256,1,819,1,3,5,315,about to sleep
48457173,274,1,279,1,3,3,313,about to sleep
48457965,266,10,4067,4,3,5,345,loyal customers
48458325,735,1,479,1,1,4,114,hibernating
48458397,83,1,819,1,5,5,515,new customers
48459453,655,1,279,1,2,3,213,hibernating
48459573,201,2,298,2,3,3,323,about to sleep
48459717,180,6,1886,3,4,5,435,potential loyalists
48459861,581,1,349,1,2,4,214,hibernating
48460077,445,2,528,2,2,4,224,hibernating
48460101,350,1,279,1,3,3,313,about to sleep
48460125,561,1,99,1,2,2,212,hibernating
48460461,1036,2,508,2,1,4,124,hibernating
48460917,691,1,99,1,2,2,212,hibernating
48461205,76,8,2512,4,5,5,545,champions
48461277,918,2,678,2,1,4,124,hibernating
48461781,60,8,2122,4,5,5,545,champions
48461853,313,85,6012,5,3,5,355,loyal customers
48462237,852,1,659,1,1,4,114,hibernating
48463053,64,3,2000,2,5,5,525,potential loyalists
48463461,602,3,2068,2,2,5,225,hibernating
48463557,293,5,1091,3,3,5,335,need attention
48463725,183,5,457,3,3,4,334,need attention
48463893,117,2,698,2,4,4,424,potential loyalists
48464109,239,1,59,1,3,2,312,about to sleep
48464157,197,11,2729,4,3,5,345,loyal customers
48464325,168,2,1638,2,4,5,425,potential loyalists
48464661,628,1,279,1,2,3,213,hibernating
48464999,349,1,279,1,3,3,313,about to sleep
48465023,103,2,558,2,4,4,424,potential loyalists
48465119,183,8,4213,4,3,5,345,loyal customers
48465191,469,6,2179,3,2,5,235,at risk
48465263,1007,1,225,1,1,3,113,hibernating
48465551,60,2,558,2,5,4,524,potential loyalists
48465623,174,1,99,1,4,2,412,promising
48466103,15,23,11421,5,5,5,555,champions
48466391,865,1,659,1,1,4,114,hibernating
48466679,714,2,548,2,2,4,224,hibernating
48467088,36,4,2150,3,5,5,535,potential loyalists
48467472,27,4,936,3,5,5,535,potential loyalists
48468072,46,2,478,2,5,4,524,potential loyalists
48469296,258,1,239,1,3,3,313,about to sleep
48469633,67,1,99,1,5,2,512,new customers
48469657,57,2,108,2,5,2,522,potential loyalists
48469969,260,1,349,1,3,4,314,about to sleep
48470905,323,8,1930,4,3,5,345,loyal customers
48471433,440,1,1299,1,2,5,215,hibernating
48471553,789,1,279,1,1,3,113,hibernating
48471577,46,6,3170,3,5,5,535,potential loyalists
48471745,265,3,1127,2,3,5,325,about to sleep
48472273,335,2,558,2,3,4,324,about to sleep
48473209,15,11,4779,4,5,5,545,champions
48473593,958,1,279,1,1,3,113,hibernating
48473809,673,1,99,1,2,2,212,hibernating
48474097,273,6,2094,3,3,5,335,need attention
48474121,89,1,349,1,5,4,514,new customers
48475633,659,2,2598,2,2,5,225,hibernating
48475849,834,1,279,1,1,3,113,hibernating
48476977,775,1,279,1,1,3,113,hibernating
48477338,293,5,3425,3,3,5,335,need attention
48477602,48,5,1651,3,5,5,535,potential loyalists
48477818,292,10,4042,4,3,5,345,loyal customers
48478154,706,2,549,2,2,4,224,hibernating
48478370,175,5,2864,3,4,5,435,potential loyalists
48478442,75,9,2693,4,5,5,545,champions
48478946,810,3,1444,2,1,5,125,hibernating
48479162,670,5,2746,3,2,5,235,at risk
48479594,20,3,1047,2,5,5,525,potential loyalists
48480122,951,2,554,2,1,4,124,hibernating
48480458,715,2,1164,2,2,5,225,hibernating
48480506,925,3,1864,2,1,5,125,hibernating
48480554,774,7,3139,3,1,5,135,at risk
48481418,1030,1,250,1,1,3,113,hibernating
48481490,895,1,329,1,1,4,114,hibernating
48482234,84,1,359,1,5,4,514,new customers
48482666,701,1,250,1,2,3,213,hibernating
48483506,33,1,99,1,5,2,512,new customers
48484058,670,3,1857,2,2,5,225,hibernating
48484322,109,10,3079,4,4,5,445,loyal customers
48484490,300,6,4695,3,3,5,335,need attention
48484562,83,2,558,2,5,4,524,potential loyalists
48485114,266,1,99,1,3,2,312,about to sleep
48485402,216,8,1519,4,3,5,345,loyal customers
48485450,480,1,399,1,2,4,214,hibernating
48485906,125,6,2402,3,4,5,435,potential loyalists
48486435,102,8,1863,4,4,5,445,loyal customers
48486771,761,2,398,2,1,4,124,hibernating
48487539,321,12,3348,4,3,5,345,loyal customers
48488187,601,3,837,2,2,5,225,hibernating
48488379,699,1,69,1,2,2,212,hibernating
48488427,537,4,7786,3,2,5,235,at risk
48488595,68,9,1632,4,5,5,545,champions
48488667,735,3,2578,2,1,5,125,hibernating
48488859,11,1,259,1,5,3,513,new customers
48488907,222,1,99,1,3,2,312,about to sleep
48489003,293,1,239,1,3,3,313,about to sleep
48489939,617,2,1153,2,2,5,225,hibernating
48490491,300,5,2025,3,3,5,335,need attention
48490923,81,8,5469,4,5,5,545,champions
48491475,582,10,3603,4,2,5,245,at risk
48491643,1070,2,2300,2,1,5,125,hibernating
48491811,21,1,349,1,5,4,514,new customers
48492628,68,1,99,1,5,2,512,new customers
48492892,537,4,1926,3,2,5,235,at risk
48492964,1028,1,275,1,1,3,113,hibernating
48494021,54,36,2962,5,5,5,555,champions
48495582,567,1,659,1,2,4,214,hibernating
48496327,15,7,2502,3,5,5,535,potential loyalists
48498056,700,2,554,2,2,4,224,hibernating
48498248,634,1,199,1,2,3,213,hibernating
48499616,930,1,279,1,1,3,113,hibernating
48499760,43,9,3492,4,5,5,545,champions
48500672,99,1,309,1,4,4,414,promising
48501608,14,8,4025,4,5,5,545,champions
48501704,904,2,554,2,1,4,124,hibernating
48502808,481,5,1527,3,2,5,235,at risk
48502928,511,2,468,2,2,4,224,hibernating
48503840,111,3,4897,2,4,5,425,potential loyalists
48504128,54,4,1112,3,5,5,535,potential loyalists
48504296,813,2,1318,2,1,5,125,hibernating
48504512,316,1,59,1,3,2,312,about to sleep
48504944,813,2,314,2,1,4,124,hibernating
48505064,230,3,837,2,3,5,325,about to sleep
48505472,21,3,1494,2,5,5,525,potential loyalists
48505544,449,2,748,2,2,4,224,hibernating
48506480,216,6,3024,3,3,5,335,need attention
48506672,823,1,70,1,1,2,112,hibernating
48506768,69,7,2674,3,5,5,535,potential loyalists
48507536,972,3,825,2,1,5,125,hibernating
48508376,228,1,279,1,3,3,313,about to sleep
48508953,347,7,1335,3,3,5,335,need attention
48509745,57,12,9135,4,5,5,545,champions
48509817,690,4,942,3,2,5,235,at risk
48510129,242,4,398,3,3,4,334,need attention
48510177,553,5,1211,3,2,5,235,at risk
48510441,11,5,2488,3,5,5,535,potential loyalists
48510970,41,1,279,1,5,3,513,new customers
48511138,130,6,1934,3,4,5,435,potential loyalists
48511426,106,2,1195,2,4,5,425,potential loyalists
48511450,105,1,279,1,4,3,413,promising
48511522,195,4,2865,3,3,5,335,need attention
48511762,119,1,99,1,4,2,412,promising
48512050,418,2,169,2,2,3,223,hibernating
48512338,172,6,1260,3,4,5,435,potential loyalists
48512794,63,5,3119,3,5,5,535,potential loyalists
48512914,484,4,936,3,2,5,235,at risk
48513010,12,6,4064,3,5,5,535,potential loyalists
48513154,229,5,1771,3,3,5,335,need attention
48513370,95,5,1646,3,4,5,435,potential loyalists
48513418,694,4,1062,3,2,5,235,at risk
48513658,992,1,1000,1,1,5,115,hibernating
48514018,294,3,857,2,3,5,325,about to sleep
48515314,824,1,70,1,1,2,112,hibernating
48515386,937,1,279,1,1,3,113,hibernating
48515434,68,4,747,3,5,4,534,potential loyalists
48515626,567,3,677,2,2,4,224,hibernating
48515698,62,4,1016,3,5,5,535,potential loyalists
48516250,238,6,3514,3,3,5,335,need attention
48516274,102,14,6438,4,4,5,445,loyal customers
48516970,379,2,388,2,2,4,224,hibernating
48516994,127,6,1574,3,4,5,435,potential loyalists
48517066,126,4,3726,3,4,5,435,potential loyalists
48517114,1014,1,275,1,1,3,113,hibernating
48517138,1093,1,680,1,1,4,114,hibernating
48518602,771,1,349,1,1,4,114,hibernating
48518794,62,4,2216,3,5,5,535,potential loyalists
48518986,11,6,1884,3,5,5,535,potential loyalists
48519106,154,4,1515,3,4,5,435,potential loyalists
48519442,474,1,199,1,2,3,213,hibernating
48519490,20,1,349,1,5,4,514,new customers
48519730,375,3,1093,2,2,5,225,hibernating
48519802,56,8,2815,4,5,5,545,champions
48519946,28,5,3789,3,5,5,535,potential loyalists
48520186,161,3,837,2,4,5,425,potential loyalists
48520210,260,9,2954,4,3,5,345,loyal customers
48520282,230,6,1720,3,3,5,335,need attention
48520690,350,12,4226,4,3,5,345,loyal customers
48520906,119,7,2229,3,4,5,435,potential loyalists
48521170,601,2,398,2,2,4,224,hibernating
48521242,6,19,4449,5,5,5,555,champions
48521290,138,12,4281,4,4,5,445,loyal customers
48522202,118,6,3684,3,4,5,435,potential loyalists
48522634,182,7,2213,3,3,5,335,need attention
48522994,62,12,8331,4,5,5,545,champions
48523210,1022,1,35,1,1,1,111,hibernating
48523498,704,2,554,2,2,4,224,hibernating
48523714,844,1,279,1,1,3,113,hibernating
48524506,319,3,977,2,3,5,325,about to sleep
48524650,43,7,3665,3,5,5,535,potential loyalists
48524842,68,3,653,2,5,4,524,potential loyalists
48526018,39,10,3810,4,5,5,545,champions
48526114,621,2,314,2,2,4,224,hibernating
48526306,972,2,279,2,1,3,123,hibernating
48527026,319,1,349,1,3,4,314,about to sleep
48527890,810,1,229,1,1,3,113,hibernating
48527962,181,1,279,1,3,3,313,about to sleep
48528538,20,23,9503,5,5,5,555,champions
48528610,663,1,279,1,2,3,213,hibernating
48528803,413,1,504,1,2,4,214,hibernating
48530027,211,5,6325,3,3,5,335,need attention
48530916,111,4,1446,3,4,5,435,potential loyalists
48531300,217,2,1138,2,3,5,325,about to sleep
48531444,413,1,929,1,2,5,215,hibernating
48532116,104,5,1865,3,4,5,435,potential loyalists
48532500,96,10,9581,4,4,5,445,loyal customers
48532812,214,7,1383,3,3,5,335,need attention
48533484,36,1,47,1,5,1,511,new customers
48533724,707,10,4292,4,2,5,245,at risk
48533988,95,7,1878,3,4,5,435,potential loyalists
48534060,299,4,927,3,3,5,335,need attention
48534156,88,11,3349,4,5,5,545,champions
48534468,292,12,6278,4,3,5,345,loyal customers
48534660,270,1,279,1,3,3,313,about to sleep
48535236,237,7,2485,3,3,5,335,need attention
48535716,55,11,3942,4,5,5,545,champions
48535980,642,3,833,2,2,5,225,hibernating
48536364,88,4,1964,3,5,5,535,potential loyalists
48536796,537,12,3382,4,2,5,245,at risk
48537204,78,16,10670,5,5,5,555,champions
48537468,104,5,1570,3,4,5,435,potential loyalists
48537636,81,7,1849,3,5,5,535,potential loyalists
48537684,237,3,827,2,3,5,325,about to sleep
48537948,991,1,275,1,1,3,113,hibernating
48538308,105,16,984,5,4,5,455,loyal customers
48538500,469,1,819,1,2,5,215,hibernating
48539749,1001,1,279,1,1,3,113,hibernating
48540374,242,2,678,2,3,4,324,about to sleep
48541214,36,12,4037,4,5,5,545,champions
48541910,606,1,250,1,2,3,213,hibernating
48542006,805,1,279,1,1,3,113,hibernating
48542678,102,9,5231,4,4,5,445,loyal customers
48543062,550,1,659,1,2,4,214,hibernating
48543158,236,9,3170,4,3,5,345,loyal customers
48543302,468,2,869,2,2,5,225,hibernating
48543350,229,11,1031,4,3,5,345,loyal customers
48544310,42,2,478,2,5,4,524,potential loyalists
48544598,15,1,69,1,5,2,512,new customers
48545198,368,1,59,1,2,2,212,hibernating
48545534,1072,1,275,1,1,3,113,hibernating
48545942,99,4,1256,3,4,5,435,potential loyalists
48547430,126,7,3853,3,4,5,435,potential loyalists
48547622,759,4,1116,3,1,5,135,at risk
48547718,25,6,2448,3,5,5,535,potential loyalists
48548246,14,18,930,5,5,5,555,champions
48548726,145,1,349,1,4,4,414,promising
48548774,551,1,99,1,2,2,212,hibernating
48548798,224,6,9864,3,3,5,335,need attention
48548846,111,10,3749,4,4,5,445,loyal customers
48549206,980,1,275,1,1,3,113,hibernating
48549302,973,1,35,1,1,1,111,hibernating
48550046,153,9,680,4,4,4,444,loyal customers
48550118,427,1,269,1,2,3,213,hibernating
48550214,606,4,1112,3,2,5,235,at risk
48550286,414,3,1597,2,2,5,225,hibernating
48550526,36,1,319,1,5,4,514,new customers
48550958,473,7,2004,3,2,5,235,at risk
48551030,561,1,279,1,2,3,213,hibernating
48551558,714,1,279,1,2,3,213,hibernating
48552086,950,1,279,1,1,3,113,hibernating
48552926,432,7,2319,3,2,5,235,at risk
48553334,280,12,3264,4,3,5,345,loyal customers
48553574,42,3,1747,2,5,5,525,potential loyalists
48554678,60,6,3825,3,5,5,535,potential loyalists
48554918,32,2,328,2,5,4,524,potential loyalists
48554990,76,7,2460,3,5,5,535,potential loyalists
48555086,733,2,524,2,1,4,124,hibernating
48555278,193,3,1647,2,3,5,325,about to sleep
48555662,204,14,5580,4,3,5,345,loyal customers
48555710,461,2,814,2,2,5,225,hibernating
48555830,68,7,2532,3,5,5,535,potential loyalists
48555950,397,1,229,1,2,3,213,hibernating
48556550,83,5,4035,3,5,5,535,potential loyalists
48556670,195,5,1845,3,3,5,335,need attention
48556982,231,2,397,2,3,4,324,about to sleep
48557078,183,5,1535,3,3,5,335,need attention
48557174,56,1,279,1,5,3,513,new customers
48557654,931,2,260,2,1,3,123,hibernating
48557750,78,3,1137,2,5,5,525,potential loyalists
48557990,183,4,1032,3,3,5,335,need attention
48558134,547,1,279,1,2,3,213,hibernating
48558254,295,10,2476,4,3,5,345,loyal customers
48558302,27,6,1334,3,5,5,535,potential loyalists
48558662,1048,1,329,1,1,4,114,hibernating
48558686,900,3,837,2,1,5,125,hibernating
48558974,67,11,3637,4,5,5,545,champions
48559142,222,12,4687,4,3,5,345,loyal customers
48559214,945,1,195,1,1,3,113,hibernating
48559790,82,1,59,1,5,2,512,new customers
48561062,671,1,349,1,2,4,214,hibernating
48561758,43,6,1963,3,5,5,535,potential loyalists
48561806,124,3,867,2,4,5,425,potential loyalists
48561854,50,3,837,2,5,5,525,potential loyalists
48562215,642,3,1480,2,2,5,225,hibernating
48562335,70,4,1875,3,5,5,535,potential loyalists
48563223,693,1,409,1,2,4,214,hibernating
48563344,53,4,1595,3,5,5,535,potential loyalists
48563704,257,10,6393,4,3,5,345,loyal customers
48564208,329,8,2912,4,3,5,345,loyal customers
48564232,141,1,118,1,4,3,413,promising
48564880,162,6,2891,3,4,5,435,potential loyalists
48564976,182,2,558,2,3,4,324,about to sleep
48566368,40,1,279,1,5,3,513,new customers
48566416,57,1,59,1,5,2,512,new customers
48566536,256,10,5175,4,3,5,345,loyal customers
48566728,307,5,4364,3,3,5,335,need attention
48566800,117,1,309,1,4,4,414,promising
48566848,1064,1,275,1,1,3,113,hibernating
48567088,36,10,5559,4,5,5,545,champions
48567544,70,7,6162,3,5,5,535,potential loyalists
48567592,176,5,2754,3,4,5,435,potential loyalists
48567880,784,1,349,1,1,4,114,hibernating
48568360,377,1,659,1,2,4,214,hibernating
48568960,183,3,957,2,3,5,325,about to sleep
48569032,18,3,837,2,5,5,525,potential loyalists
48569488,593,4,1625,3,2,5,235,at risk
48569656,46,7,1803,3,5,5,535,potential loyalists
48569728,340,2,628,2,3,4,324,about to sleep
48570112,302,2,938,2,3,5,325,about to sleep
48570136,715,4,1611,3,2,5,235,at risk
48570328,49,8,5432,4,5,5,545,champions
48570688,176,4,1585,3,4,5,435,potential loyalists
48570832,250,6,6975,3,3,5,335,need attention
48571168,558,1,279,1,2,3,213,hibernating
48571456,845,2,398,2,1,4,124,hibernating
48571720,312,12,7288,4,3,5,345,loyal customers
48571936,335,2,938,2,3,5,325,about to sleep
48572056,54,3,907,2,5,5,525,potential loyalists
48572080,1034,1,225,1,1,3,113,hibernating
48572848,151,7,3972,3,4,5,435,potential loyalists
48573544,334,3,657,2,3,4,324,about to sleep
48573664,399,2,698,2,2,4,224,hibernating
48573880,852,1,349,1,1,4,114,hibernating
48573952,79,10,4437,4,5,5,545,champions
