EM_ID,Recency,Frequency,Monetary,F,R,M,RFM Score,Segment
31387450368,545,1,69,1,2,2,212,hibernating
31387536906,470,2,459,2,2,4,224,hibernating
31387616176,573,1,349,1,2,4,214,hibernating
31387993176,573,1,69,1,2,2,212,hibernating
31388030720,258,5,1145,3,3,5,335,need attention
31388382392,126,2,118,2,4,3,423,potential loyalists
31388557902,40,4,1485,3,5,5,535,potential loyalists
31388741664,561,1,69,1,2,2,212,hibernating
31388792034,557,1,69,1,2,2,212,hibernating
31389275244,557,1,69,1,2,2,212,hibernating
31389320078,573,1,69,1,2,2,212,hibernating
31389537750,300,1,59,1,3,2,312,about to sleep
31389989306,147,1,59,1,4,2,412,promising
31389999880,475,2,268,2,2,3,223,hibernating
31390112088,567,1,69,1,2,2,212,hibernating
31390112128,572,1,69,1,2,2,212,hibernating
31390457136,557,1,69,1,2,2,212,hibernating
31390485080,84,8,742,4,5,4,544,champions
31390620686,573,1,69,1,2,2,212,hibernating
31391101058,210,5,1391,3,3,5,335,need attention
31391213376,550,2,269,2,2,3,223,hibernating
31391303174,208,5,295,3,3,3,333,need attention
31392264412,68,1,238,1,5,3,513,new customers
31392368812,568,1,69,1,2,2,212,hibernating
31392920046,545,1,69,1,2,2,212,hibernating
31393046166,551,1,69,1,2,2,212,hibernating
31393178492,434,1,349,1,2,4,214,hibernating
31393326696,456,2,368,2,2,4,224,hibernating
31393705614,322,2,478,2,3,4,324,about to sleep
31393812548,294,2,378,2,3,4,324,about to sleep
31393918532,572,1,69,1,2,2,212,hibernating
31393934908,43,3,537,2,5,4,524,potential loyalists
31394691890,324,1,59,1,3,2,312,about to sleep
31394835718,572,1,130,1,2,3,213,hibernating
31394946150,547,1,69,1,2,2,212,hibernating
31395682282,566,1,49,1,2,1,211,hibernating
31395973950,211,4,1207,3,3,5,335,need attention
31395987808,105,1,59,1,4,2,412,promising
31396195068,553,1,69,1,2,2,212,hibernating
31396249538,554,2,118,2,2,3,223,hibernating
31396291592,572,1,69,1,2,2,212,hibernating
31396361350,572,1,69,1,2,2,212,hibernating
31396409926,540,1,69,1,2,2,212,hibernating
31396431060,566,1,69,1,2,2,212,hibernating
31396471596,572,1,69,1,2,2,212,hibernating
31396662732,572,1,69,1,2,2,212,hibernating
31396716732,50,3,187,2,5,3,523,potential loyalists
31396786756,572,1,69,1,2,2,212,hibernating
31397195622,572,1,69,1,2,2,212,hibernating
31397238078,522,1,799,1,2,5,215,hibernating
31397311170,84,6,2163,3,5,5,535,potential loyalists
31397802114,544,1,69,1,2,2,212,hibernating
31397925042,561,1,69,1,2,2,212,hibernating
31398003072,168,2,108,2,4,2,422,potential loyalists
31398107362,232,3,537,2,3,4,324,about to sleep
31398297828,572,1,69,1,2,2,212,hibernating
31398348288,572,1,130,1,2,3,213,hibernating
31398368468,236,1,59,1,3,2,312,about to sleep
