ID_NORM;NOMBRE_NORM
7311_dec7ed73-8688-4328-bc50-c72d31b25956;Montador de instrumentos de precisión/Montadora de instrumentos de precisión
1431_ce6230b8-154f-4e0b-ac03-dca3a269a19c;Director de centro cultural/Directora de centro cultural
2413_1e331638-3f66-4641-9c49-56a94235f94c;Analista de tarificación de seguros
1330_5fd2980e-22c4-4ace-a394-190c76f4f539;Gestor de documentación de las TIC/Gestora de documentación de las TIC
1120_4be4ea31-1211-4f0c-82bb-f6fe10791f4d;Director general de aeropuerto/Directora general de aeropuerto
3435_7f0d69cf-8b02-4a84-865a-37585dea9b43;Director de programación de radio y televisión/Directora de programación de radio y televisión
1324_73d3ce3c-296c-4f85-9381-2eed6f3ae5fa;Director de transporte fluvial/Directora de transporte fluvial
8181_d4fdb8cb-8928-4047-8166-5feedc3c1a98;Operador de prensa de moldeo en seco/Operadora de prensa de moldeo en seco
2144_d7e663b2-f042-47d8-9fda-b5b8ba30ca04;Ingeniero aeroespacial/Ingeniera aeroespacial
2267_771244bf-b204-4e7f-8b25-ee523ae7b791;Ortóptico/Ortóptica
1221_7a031723-2b2c-4fdd-8ed5-30d67088b8b8;Agente de patentes y marcas
2619_246dda29-70f6-408b-b205-aa17b2ffb168;Observador electoral/Observadora electoral
1324_a2ff6cc3-15fa-4f02-a457-8fd5df7aa29e;Director de logística intermodal/Directora de logística intermodal
1322_0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9;Director de producción de gas y petróleo/Directora de producción de gas y petróleo
3258_0b5dfc02-b825-4445-811d-d39ed442657e;Enfermero especializado en atención de urgencias/Enfermera especializada en atención de urgencias
7311_15d5636f-7714-4697-850a-67b7f7cb3837;Montador de instrumentos de óptica/Montadora de instrumentos de óptica
5414_c66b4569-09aa-4d8d-93d9-ac9b9176655d;Asesor de seguridad/Asesora de seguridad
3354_e19fe26f-0759-4bb1-af71-5bbecf3df69f;Asesor sobre temas de inmigración/Asesora sobre temas de inmigración
7543_85fdd1cb-98d3-4c40-a868-1078ce770440;Inspector de control de calidad textil/Inspectora de control de calidad textil
8171_728b9e5b-3da4-4dbd-ac36-614ebdb6c8c0;Operador de destintado por flotación/Operadora de destintado por flotación
3331_0;Declarantes o gestores de aduana
4211_6a6e174e-cffa-49a9-9f2f-aa39c81cdee5;Empleado de mostrador de oficina postal/Empleada de mostrador de oficina postal
8114_86da9311-1f7a-40bb-af65-ed2a7178fcae;Operador de máquina para elaborar productos de hormigón/Operadora de máquina para elaborar productos de hormigón
1324_c1ee52e0-f30a-4f8d-a7f5-b07f5f06f88f;Director de distribución de productos lácteos y aceites comestibles/Directora de distribución de productos lácteos y aceites comestibles
3122_0e68f523-3206-4896-b725-44150dd22057;Supervisor de fabricación de prendas y marroquinería de piel y cuero/Supervisora de fabricación de prendas y marroquinería de piel y cuero
2423_20b9f370-6b56-4679-8c06-c23b866a5bd0;Responsable de relaciones laborales
3119_8b828b9f-e41a-48d1-9d35-2c4378279a79;Coordinador del cumplimiento de los requisitos técnicos y de calidad de infraestructuras de gasoductos y oleoductos/Coordinadora del cumplimiento de los requisitos técnicos y de calidad de infraestructuras de gasoductos y oleoductos
1219_109e0a5d-203d-4af6-8f70-692111335ec3;Director del departamento de control de la calidad/Directora del departamento de control de la calidad
3324_6c2b32b4-2f62-4288-a359-3406022c3610;Mayorista de azúcar, chocolate y productos de confitería
7223_0f905036-055f-41d9-b292-e3c02617a193;Operador de briquetadora de virutas de metal/Operadora de briquetadora de virutas de metal
2269_33da5532-8c4e-4d1b-b52e-c201ee1bc7ab;Terapeuta ocupacional
3311_c0463fbe-7914-48ac-84ec-abaee1a7f292;Intermediario de títulos valores/Intermediaria de títulos valores
2641_e55e1a62-eab4-4829-a71e-e0d294cacf6b;Letrista
2114_1790c821-c582-4944-8597-d2d4a66f6a6d;Geólogo de minas/Geóloga de minas
4110_0a3c2d5b-e1f9-4200-9288-62bf3fed3310;Administrador de cuentas de socios/Administradora de cuentas de socios
2422_d6ef013f-57e9-4100-bbe5-3e4930664dee;Responsable de políticas de servicios sociales
7531_978ae3a2-0831-415a-8396-b84dde656fc5;Sastre/Sastra
5411_7c320679-131d-4828-87ed-94886614b7ed;Bombero especializado en el manejo de la bomba de propulsión/Bombera especializada en el manejo de la bomba de propulsión
