category_id_fk;site_category_name;total_params_per_category
7;Autos, camionetas y 4x4;1
8;Camiones y furgones;1
9;Motos;1
30;Celulares, teléfonos y accesorios;1
32;Ofertas de empleo;2
37;Moda y vestuario;2
38;Bolsos, bisutería y accesorios;1
47;Comprar;6
48;Arrendar;6
49;Arriendo de temporada;2
50;Calzado;1
